publish_time,song_time,artist,artist_id,music_name,music_id,album,pic_url,album_id,no,crawl_time,music_url,music_down_url,update_time
2018-08-20,3:52,郑润泽,29051613,于是,1303464858,于是,http://p2.music.126.net/PEGvmO3OqgGOkx4m9qxAJA==/109951163478499713.jpg,72363421,1,2024-11-20 10:51:55,https://music.163.com/song?id=1303464858,Unknown,2024-11-20
2011-11-10,4:31,陈奕迅,2116,孤独患者,64093,？,http://p2.music.126.net/Po0tJTtv4aBaYozWlnojHg==/18546562139313276.jpg,6341,1,2024-11-20 10:51:55,https://music.163.com/song?id=64093,Unknown,2024-11-20
Unknown,4:03,"梨冻紧, Wiz_H张子豪","33259235, 13112601",罗生门（Follow）,1456890009,罗生门（Follow）,http://p2.music.126.net/yN1ke1xYMJ718FiHaDWtYQ==/109951165076380471.jpg,91237927,1,2024-11-20 10:51:55,https://music.163.com/song?id=1456890009,Unknown,2024-11-20
2024-10-17,2:49,"ROSÉ, Bruno Mars","12062255, 178059",APT.,2637558926,APT.,http://p2.music.126.net/t47xJ6AwOv9qOQ51PZoiPw==/109951170052324935.jpg,251077657,1,2024-11-20 10:51:55,https://music.163.com/song?id=2637558926,Unknown,2024-11-20
2007-01-24,3:58,王力宏,5346,爱错,1301736461,恋爱占星音乐全精选,http://p2.music.126.net/febOkiCikU5OcjVLqGNLlg==/109951165994484307.jpg,72309025,11,2024-11-20 10:51:55,https://music.163.com/song?id=1301736461,Unknown,2024-11-20
2019-11-13,6:21,王贰浪,14312549,把回忆拼好给你,1403318151,把回忆拼好给你,http://p2.music.126.net/CBx2K_jEN3SNWwYztagPPw==/109951164485969446.jpg,83305009,1,2024-11-20 10:51:55,https://music.163.com/song?id=1403318151,Unknown,2024-11-20
2019-10-22,3:50,颜人中,31376161,我只能离开,1398283847,初恋那件小事 电视剧原声带,http://p2.music.126.net/5GPFbTQU-kW57PGv_7LeBw==/109951164440649436.jpg,82595937,3,2024-11-20 10:51:55,https://music.163.com/song?id=1398283847,Unknown,2024-11-20
Unknown,4:05,"汪苏泷, 单依纯","5538, 29802127",如果爱忘了 (live),2124385868,声生不息·家年华 第12期,http://p2.music.126.net/3nL__2mV7k65XMoUw6Gu-g==/109951169721390560.jpg,185225783,2,2024-11-20 10:51:55,https://music.163.com/song?id=2124385868,Unknown,2024-11-20
2024-06-14,3:39,罗森涛,48082785,小孩,2166584564,为何离开,http://p2.music.126.net/5zAv9nKlwj80OearK5Vrjw==/109951169686963932.jpg,199391684,1,2024-11-20 10:51:55,https://music.163.com/song?id=2166584564,Unknown,2024-11-20
2021-03-13,3:10,"林达浪, h3R3","15199791, 12631485",还是会想你,1827600686,还是会想你,http://p2.music.126.net/9FhSEQtMhP-JP3_U84YfWQ==/109951165798773745.jpg,124309279,0,2024-11-20 10:51:55,https://music.163.com/song?id=1827600686,Unknown,2024-11-20
